Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
326098162,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
328587683,15FD0816,true,Rx,0,8,01,01,04,FB,77,FF,FF,FF,
328588303,15FD0716,true,Rx,0,8,01,C4,5F,78,FF,7F,FF,FF,
328599013,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
331088559,15FD0816,true,Rx,0,8,01,01,04,C3,78,FF,FF,FF,
331089199,15FD0716,true,Rx,0,8,01,C4,27,79,FF,7F,FF,FF,
331099967,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
333589473,15FD0816,true,Rx,0,8,01,01,04,8B,79,FF,FF,FF,
333590157,15FD0716,true,Rx,0,8,01,C4,EF,79,FF,7F,FF,FF,
333600835,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
336090379,15FD0816,true,Rx,0,8,01,01,04,53,7A,FF,FF,FF,
336090959,15FD0716,true,Rx,0,8,01,C4,B7,7A,FF,7F,FF,FF,
336101755,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
338591382,15FD0816,true,Rx,0,8,01,01,04,1B,7B,FF,FF,FF,
338591863,15FD0716,true,Rx,0,8,01,C4,7F,7B,FF,7F,FF,FF,
338602618,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
341092238,15FD0816,true,Rx,0,8,01,01,04,E3,7B,FF,FF,FF,
341092778,15FD0716,true,Rx,0,8,01,C4,47,7C,FF,7F,FF,FF,
341103538,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
343593196,15FD0816,true,Rx,0,8,01,01,04,AB,7C,FF,FF,FF,
343593699,15FD0716,true,Rx,0,8,01,C4,0F,7D,FF,7F,FF,FF,
343604458,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
346094031,15FD0816,true,Rx,0,8,01,01,04,73,7D,FF,FF,FF,
346094573,15FD0716,true,Rx,0,8,01,C4,D7,7D,FF,7F,FF,FF,
